"","state","county","tract","healthcare_adjusted"
"393","37","081","016103",0.0902008310249307
"394","37","081","016203",0.0696679568140151
"395","37","081","016204",0.0786246167323697
"396","37","081","016205",0.0263783269961977
"397","37","081","016303",0.0337461300309598
"398","37","081","016304",0.0281879194630872
"399","37","183","053707",0.102553251516434
"400","37","183","053709",0.0648578061520604
"401","37","183","054302",0.147536884221055
"402","37","183","054402",0.0456707897240723
"403","37","183","051800",0.027175104098181
"404","37","183","052404",0.0857263513513514
"405","37","183","052601",0.0178885630498534
"406","37","183","050500",0.0956639566395664
"407","37","183","051501",0.00943396226415094
"408","37","179","021014",0.0694444444444444
"409","37","179","021015",0.126036819745094
"410","37","183","051101",0.049039716576543
"411","37","183","052406",0.173438124417211
"412","37","183","052407",0.123281286413423
"413","37","127","010602",0.0744081172491545
"414","37","127","011101",0.0450699892324258
"415","37","127","011102",0.0674006444683136
"416","37","129","011605",0.0651121076233184
"417","37","129","011608",0.0716139868682241
"418","37","129","011606",0.173913043478261
"419","37","129","011607",0.0922190201729107
"420","37","129","011705",0.0509876926259179
"421","37","129","011903",0.0685341601625147
"422","37","119","002903",0.00427655024946543
"423","37","119","002003",0.127676833225178
"424","37","119","001504",0.218299711815562
"425","37","119","000600",0.0290344361917623
"426","37","119","001505",0.213068975146607
"427","37","119","002002",0.0586245772266065
"428","37","081","011102",0.165693430656934
"429","37","081","011200",0.062986905353887
"430","37","081","011300",0.155059132720105
"431","37","081","011400",0.144007858546169
"432","37","081","010100",0.149214659685864
"433","37","081","010602",0.0588785046728972
"434","37","081","010701",0.0641613198900092
"435","37","081","011000",0.0750822067957618
"436","37","081","011601",0.176447105788423
"437","37","081","012607",0.131328511610202
"438","37","081","012612",0.125881168177241
"439","37","081","012704",0.106864274570983
"440","37","081","012705",0.0790916209866876
"441","37","081","012803",0.126504602312957
"442","37","081","014502",0.149940968122786
"443","37","081","015200",0.0905082129864403
"444","37","081","015500",0.120514354066986
"445","37","081","015600",0.035969196093163
"446","37","081","017000",0.0833155308694723
"447","37","081","010401",0.123038292529818
"448","37","081","012601",0.129772121929565
"449","37","081","012611",0.147801920161698
"450","37","081","012804",0.0894235133908307
"451","37","067","001901",0.23818407960199
"452","37","067","002001",0.134843982169391
"453","37","067","002601",0.0187677053824363
"454","37","067","002703",0.156080136667184
"455","37","067","003905",0.084189497716895
"456","37","067","004005",0.0202879581151832
"457","37","067","001902",0.235478806907378
"458","37","067","003600",0.167487684729064
"459","37","067","000700",0.163092046470063
"460","37","067","003500",0.163119629874422
"461","37","067","000302",0.133893919793014
"462","37","127","010504",0.0477396021699819
"463","37","127","010300",0.0532260824918706
"464","37","127","010502",0.0706638115631692
"465","37","127","010800",0.0686816893806504
"466","37","127","011000",0.150754793961648
"467","37","127","011300",0.128820116054159
"468","37","127","010700",0.151289009497965
"469","37","127","011200",0.0689018763457398
"470","37","127","010200",0.140858658948384
"471","37","127","010503",0.0481032459913962
"472","37","127","010900",0.131010705861005
"473","37","069","060600",0.110978260869565
"474","37","069","060200",0.0893628509719222
"475","37","069","060700",0.121733687998748
"476","37","101","041300",0.159027991387265
"477","37","101","040500",0.13547130226285
"478","37","101","040100",0.18601747815231
"479","37","101","040400",0.146766169154229
"480","37","051","001100",0.103783231083845
"481","37","051","001200",0.119278510473235
"482","37","051","001601",0.137783138989412
"483","37","051","002800",0.124183006535948
"484","37","051","003600",0.12532252119425
"485","37","051","003201",0.0436426658263747
"486","37","051","000800",0.0700447093889717
"487","37","051","001000",0.0907668231611894
"488","37","051","001500",0.145903859174001
"489","37","051","002100",0.13024225058609
"490","37","051","002503",0.0641711229946524
"491","37","051","003309",0.0777574091047968
"492","37","117","970100",0.0694321206743567
"493","37","117","970600",0.144345694146491
"494","37","115","010700",0.0551132884262094
"495","37","115","010200",0.095632183908046
"496","37","115","010100",0.113200156678418
"497","37","115","010600",0.0741549929314998
"498","37","115","010400",0.128900949796472
"499","37","115","010500",0.126588235294118
"500","37","151","031100",0.17625786163522
"501","37","151","030302",0.211700182815356
"502","37","151","030600",0.145797370867083
"503","37","151","030201",0.142598733795598
"504","37","151","030400",0.151785714285714
"505","37","151","031000",0.172372130487314
"506","37","151","031501",0.0898597052033387
"507","37","151","030301",0.218089333969162
"508","37","151","030700",0.11117945563586
"509","37","151","030802",0.0629846494698528
"510","37","151","030202",0.150191734128675
"511","37","191","000102",0.0581834668278676
"512","37","191","000101",0.1468025204451
"513","37","191","000303",0.106723429242513
"514","37","191","000304",0.144801512287335
"515","37","191","000401",0.0694689555591208
"516","37","191","000402",0.125026852846402
"517","37","191","000901",0.165135895032802
"518","37","191","000902",0.168583895279651
"519","37","191","001101",0.104944907282988
"520","37","191","001102",0.0854847963281698
"521","37","191","001301",0.0515151515151515
"522","37","191","001302",0.104018912529551
"523","37","191","002000",0.0745341614906832
"524","37","193","960801",0.110253857640617
"525","37","025","040703",0.0886717336228737
"526","37","155","960900",0.155619596541787
"527","37","155","961200",0.105377008652658
"528","37","155","960600",0.138946128937298
"529","37","147","001100",0.170550038197097
"530","37","147","001500",0.0892427884615385
"531","37","147","000800",0.107033639143731
"532","37","147","000400",0.0417652791312822
"533","37","147","002001",0.294275774826059
"534","37","147","000900",0.175635645519625
"535","37","147","001800",0.0577360206091832
"536","37","147","001600",0.0673890958347443
"537","37","147","000100",0.110324665333128
"538","37","147","002002",0.1263015811801
"539","37","159","051202",0.135268505079826
"540","37","159","051901",0.0774694783573807
"541","37","159","051302",0.13640312771503
"542","37","159","050201",0.113550519357885
"543","37","159","050500",0.0456263498920086
"544","37","159","050300",0.128474191718661
"545","37","159","051002",0.0843373493975904
"546","37","159","050202",0.0965207631874299
"547","37","159","050901",0.111559711007225
"548","37","159","051600",0.142393867924528
"549","37","159","050400",0.125087108013937
"550","37","159","051001",0.110839025647635
"551","37","159","051101",0.110584250635055
"552","37","159","051902",0.125428152014353
"553","37","159","051102",0.0631517960602549
"554","37","159","051204",0.157309465690263
"555","37","155","960201",0.153441295546559
"556","37","101","040700",0.142014867982569
"557","37","101","040800",0.15103756238508
"558","37","101","040600",0.151007589636221
"559","37","165","010200",0.110599078341014
"560","37","165","010300",0.117158469945355
"561","37","165","010600",0.107077764277035
"562","37","165","010400",0.110789766407119
"563","37","165","010500",0.115537848605578
"564","37","127","011400",0.0940721649484536
"565","37","127","011500",0.190258534495072
"566","37","127","010400",0.146551724137931
"567","37","003","040200",0.0777493606138107
"568","37","003","040700",0.0867653524842445
"569","37","019","990100",NA
"570","37","021","001801",0.0760837511058685
"571","37","021","001802",0.0772421967601738
"572","37","021","002203",0.11424700835403
"573","37","021","002204",0.0434782608695652
"574","37","021","002205",0.0625168782068593
"575","37","021","002206",0.020708221163802
"576","37","021","002401",0.132043255549232
"577","37","021","002503",0.107571673609409
"578","37","021","002402",0.0712118146874368
"579","37","135","010703",0.140185341196293
"580","37","135","010704",0.0480147737765466
"581","37","135","010801",0.0711845102505695
"582","37","135","011000",0.0467784642541924
"583","37","135","011203",0.0689441953934147
"584","37","135","012100",0.047796399751707
"585","37","135","010802",0.0530737704918033
"586","37","135","010701",0.0461741424802111
"587","37","135","011101",0.134169045550453
"588","37","135","011500",0.058252427184466
"589","37","135","011700",0.0271688214352633
"590","37","135","011300",0.0731087094723458
"591","37","135","011400",0.0586694604504976
"592","37","153","971000",0.12666076173605
"593","37","153","970600",0.121361618154909
"594","37","153","970700",0.177465802735781
"595","37","153","970200",0.127183513248283
"596","37","153","971100",0.10347943967465
